word	pos	ss:n	definition
aalii	n	1:1	a small Hawaiian tree with hard dark wood
abaca	n	2:1	a kind of hemp obtained from the abaca plant in the Philippines
abaca	n	2:2	Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
abaci	n	2:1	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abaci	n	2:2	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
aback	r	2:1	having the wind against the forward side of the sails
aback	r	2:2	by surprise
abaft	r	1:1	at or near or toward the stern of a ship or tail of an airplane
abamp	n	1:1	a unit of current equal to 10 amperes
abase	v	1:1	cause to feel shame; hurt the pride of
abash	v	1:1	cause to be embarrassed; cause to feel self-conscious
abate	v	2:1	make less active or intense
abate	v	2:2	become less in amount or intensity
abaya	n	1:1	(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
abbey	n	3:1	a church associated with a monastery or convent
abbey	n	3:2	a convent ruled by an abbess
abbey	n	3:3	a monastery ruled by an abbot
abbot	n	1:1	the superior of an abbey of monks
abeam	r	1:1	at right angles to the length of a ship or airplane
abele	n	1:1	a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
abhor	v	1:1	find repugnant
abide	v	2:1	dwell
abide	v	2:2	put up with something or somebody unpleasant
abode	v	4:1	dwell
abode	v	4:2	put up with something or somebody unpleasant
abode	n	4:3	any address at which you dwell more than temporarily
abode	n	4:4	housing that someone is living in
abohm	n	1:1	a unit of resistance equal to a billionth of an ohm
abort	n	4:1	the act of terminating a project or procedure before it is completed
abort	v	4:2	terminate before completion
abort	v	4:3	cease development, die, and be aborted
abort	v	4:4	terminate a pregnancy by undergoing an abortion
about	s	8:1	on the move
about	r	8:2	(of quantities) imprecise but fairly close to correct
about	r	8:3	all around or on all sides
about	r	8:4	in the area or vicinity
about	r	8:5	used of movement to or among many different places or in no particular direction
about	r	8:6	in or to a reversed position or direction
about	r	8:7	in rotation or succession
about	r	8:8	(of actions or states) slightly short of or not quite accomplished; all but
above	s	4:1	appearing earlier in the same text
above	n	4:2	an earlier section of a written text
above	r	4:3	(in writing) at an earlier place
above	r	4:4	in or to a place that is higher
abuse	n	7:1	cruel or inhumane treatment
abuse	n	7:2	a rude expression intended to offend or hurt
abuse	n	7:3	improper or excessive use
abuse	v	7:4	treat badly
abuse	v	7:5	change the inherent purpose or function of something
abuse	v	7:6	use foul or abusive language towards
abuse	v	7:7	use wrongly or improperly or excessively
abuzz	s	1:1	noisy like the sound of a bee
abysm	n	1:1	a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
abyss	n	1:1	a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
acari	n	1:1	any of several mites of the order Acarina
acerb	s	2:1	sour or bitter in taste
acerb	s	2:2	harsh or corrosive in tone
acini	n	2:1	one of the small drupes making up an aggregate or multiple fruit like a blackberry
acini	n	2:2	one of the small sacs or saclike dilations in a compound gland
ackee	n	1:1	red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe
acned	s	1:1	(of complexion) blemished by imperfections of the skin
acold	s	1:1	of persons; feeling cold
acorn	n	1:1	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
acres	n	1:1	extensive landed property (especially in the country) retained by the owner for their own use
acrid	s	2:1	strong and sharp
acrid	s	2:2	harsh or corrosive in tone
actin	n	1:1	one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
actor	n	2:1	a theatrical performer
