word	ws.reps	ws.uniq_chars	uniq_vowels	dup_vowels	pos	ss	definition
aalii	reps:True	uc:3	uv:2	dv:2	n	1	a small Hawaiian tree with hard dark wood
abaca	reps:True	uc:3	uv:1	dv:2	n	2	a kind of hemp obtained from the abaca plant in the Philippines
abaci	reps:True	uc:4	uv:2	dv:1	n	2	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
aback	reps:True	uc:4	uv:1	dv:1	r	2	having the wind against the forward side of the sails
abaft	reps:True	uc:4	uv:1	dv:1	r	1	at or near or toward the stern of a ship or tail of an airplane
abamp	reps:True	uc:4	uv:1	dv:1	n	1	a unit of current equal to 10 amperes
abase	reps:True	uc:4	uv:2	dv:1	v	1	cause to feel shame; hurt the pride of
abash	reps:True	uc:4	uv:1	dv:1	v	1	cause to be embarrassed; cause to feel self-conscious
abate	reps:True	uc:4	uv:2	dv:1	v	2	make less active or intense
abaya	reps:True	uc:3	uv:1	dv:2	n	1	(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
abbey	reps:True	uc:4	uv:2	dv:0	n	3	a church associated with a monastery or convent
abbot	reps:True	uc:4	uv:2	dv:0	n	1	the superior of an abbey of monks
abeam	reps:True	uc:4	uv:2	dv:1	r	1	at right angles to the length of a ship or airplane
abele	reps:True	uc:4	uv:2	dv:1	n	1	a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
abhor	reps:False	uc:5	uv:2	dv:0	v	1	find repugnant
abide	reps:False	uc:5	uv:3	dv:0	v	2	dwell
abode	reps:False	uc:5	uv:3	dv:0	v	4	dwell
abohm	reps:False	uc:5	uv:2	dv:0	n	1	a unit of resistance equal to a billionth of an ohm
abort	reps:False	uc:5	uv:2	dv:0	n	4	the act of terminating a project or procedure before it is completed
about	reps:False	uc:5	uv:3	dv:0	s	8	on the move
above	reps:False	uc:5	uv:3	dv:0	s	4	appearing earlier in the same text
abuse	reps:False	uc:5	uv:3	dv:0	n	7	cruel or inhumane treatment
abuzz	reps:True	uc:4	uv:2	dv:0	s	1	noisy like the sound of a bee
abysm	reps:False	uc:5	uv:1	dv:0	n	1	a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
abyss	reps:True	uc:4	uv:1	dv:0	n	1	a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
acari	reps:True	uc:4	uv:2	dv:1	n	1	any of several mites of the order Acarina
acerb	reps:False	uc:5	uv:2	dv:0	s	2	sour or bitter in taste
acini	reps:True	uc:4	uv:2	dv:1	n	2	one of the small drupes making up an aggregate or multiple fruit like a blackberry
ackee	reps:True	uc:4	uv:2	dv:1	n	1	red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe
acned	reps:False	uc:5	uv:2	dv:0	s	1	(of complexion) blemished by imperfections of the skin
acold	reps:False	uc:5	uv:2	dv:0	s	1	of persons; feeling cold
acorn	reps:False	uc:5	uv:2	dv:0	n	1	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
acres	reps:False	uc:5	uv:2	dv:0	n	1	extensive landed property (especially in the country) retained by the owner for their own use
acrid	reps:False	uc:5	uv:2	dv:0	s	2	strong and sharp
actin	reps:False	uc:5	uv:2	dv:0	n	1	one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
actor	reps:False	uc:5	uv:2	dv:0	n	2	a theatrical performer
acute	reps:False	uc:5	uv:3	dv:0	a	7	having or experiencing a rapid onset and short but severe course
adage	reps:True	uc:4	uv:2	dv:1	n	1	a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
adapt	reps:True	uc:4	uv:1	dv:1	v	2	make fit for, or change to suit a new purpose
addax	reps:True	uc:3	uv:1	dv:1	n	1	large antelope with lightly spiraled horns of desert regions of northern Africa
adder	reps:True	uc:4	uv:2	dv:0	n	3	a person who adds numbers
addle	reps:True	uc:4	uv:2	dv:0	v	2	mix up or confuse
adept	reps:False	uc:5	uv:2	dv:0	s	2	having or showing knowledge and skill and aptitude
adieu	reps:False	uc:5	uv:4	dv:0	n	1	a farewell remark
adios	reps:False	uc:5	uv:3	dv:0	n	1	a farewell remark
adman	reps:True	uc:4	uv:1	dv:1	n	1	someone whose business is advertising
admit	reps:False	uc:5	uv:2	dv:0	v	8	declare to be true or admit the existence or reality or truth of
admix	reps:False	uc:5	uv:2	dv:0	v	1	mix or mingle
adobe	reps:False	uc:5	uv:3	dv:0	n	2	the clay from which adobe bricks are made
adobo	reps:True	uc:4	uv:2	dv:1	n	1	a dish of marinated vegetables and meat or fish; served with rice
adopt	reps:False	uc:5	uv:2	dv:0	v	7	choose and follow; as of theories, ideas, policies, strategies or plans
adore	reps:False	uc:5	uv:3	dv:0	v	1	love intensely
adorn	reps:False	uc:5	uv:2	dv:0	v	3	make more attractive by adding ornament, colour, etc.
